x,y,z
-0.11054814606904984, -0.039106354117393494, -1.291542410850525
-0.10260341316461563, -0.03775112330913544, -1.3396590948104858
-0.09249267727136612, -0.035350192338228226, -1.3844327926635742
-0.07937999814748764, -0.032500140368938446, -1.43385910987854
-0.06444338709115982, -0.028469353914260864, -1.4815350770950317
-0.04847212880849838, -0.022396663203835487, -1.5301772356033325
-0.03223227709531784, -0.017973484471440315, -1.574628472328186
-0.015411252155900002, -0.011276263743638992, -1.6228907108306885
-0.0008599460124969482, -0.0040894560515880585, -1.6630373001098633
0.01706487499177456, -0.0003931512183044106, -1.7087496519088745
0.031221328303217888, -0.001141499844379723, -1.7472240924835205
0.05062638595700264, -0.0008371301228180528, -1.7912720441818237
0.06876517087221146, -0.0018152763368561864, -1.828622579574585
0.09013396501541138, -0.005689855199307203, -1.8742705583572388
0.1143115684390068, -0.009149350225925446, -1.918611764907837
0.1362626552581787, -0.01304204948246479, -1.9681849479675293
0.15607497096061707, -0.014182845130562782, -2.01855206489563
0.17480206489562988, -0.015978321433067322, -2.071523904800415
0.19587290287017822, -0.017000418156385422, -2.1265199184417725
0.21349763870239258, -0.014281503856182098, -2.1806559562683105
0.23265737295150757, -0.01206643134355545, -2.237105369567871
0.2534925937652588, -0.01106815505772829, -2.292466163635254
0.27347078919410706, -0.012203624472022057, -2.34576678276062
0.29274335503578186, -0.012954606674611568, -2.3984384536743164
0.30979761481285095, -0.016092780977487564, -2.4520952701568604
0.32916325330734253, -0.01964499242603779, -2.508089780807495
0.34787124395370483, -0.019260011613368988, -2.563000440597534
0.3659037947654724, -0.018930573016405106, -2.6191508769989014
0.3811924457550049, -0.015825971961021423, -2.6782891750335693
0.39456188678741455, -0.010235060937702656, -2.735466480255127
0.40365472435951233, -0.004730710759758949, -2.791668653488159
0.41267910599708557, -0.0001555281924083829, -2.8476736545562744
0.415450781583786, 0.0006336633232422173, -2.9033732414245605
0.4234101474285126, 0.002412560163065791, -2.9584977626800537
0.4291316270828247, 0.00016826232604216784, -3.0155575275421143
0.43888774514198303, -0.005219451151788235, -3.0749781131744385
0.44814637303352356, -0.009512761607766151, -3.135584831237793
0.46007710695266724, -0.01416000910103321, -3.197608709335327
0.473026305437088, -0.01713176630437374, -3.25931715965271
0.4872135818004608, -0.01436011865735054, -3.3182342052459717
0.5032675266265869, -0.010965008288621902, -3.376844882965088
0.522138237953186, -0.007756670471280813, -3.436791181564331
0.5404964089393616, -0.004783863667398691, -3.4912428855895996
0.5594751834869385, -0.003643722739070654, -3.54746150970459
0.5783300399780273, -0.004791665822267532, -3.6033823490142822
0.5980435013771057, -0.00855784397572279, -3.660942792892456
0.6155885457992554, -0.01283056940883398, -3.7191665172576904
0.6324934363365173, -0.016052205115556717, -3.775247812271118
0.6483387351036072, -0.017628509551286697, -3.828620433807373
0.660728931427002, -0.01579473540186882, -3.883945941925049
0.6717338562011719, -0.010061657987535, -3.9397971630096436
0.6808158755302429, -0.007567110005766153, -3.994002342224121
0.6892610192298889, -0.00702819274738431, -4.050347805023193
0.6989600658416748, -0.005857914686203003, -4.103015422821045
0.7092868685722351, -0.007608763407915831, -4.158329486846924
0.7204867601394653, -0.010028831660747528, -4.215348243713379
0.7312474250793457, -0.014019173569977283, -4.275021076202393
